,season,episode,rating,title,airdate
0,1,1,7.5,Pilot,2005-03-24
1,1,2,8.3,Diversity Day,2005-03-29
2,1,3,7.8,Health Care,2005-04-05
3,1,4,8.1,The Alliance,2005-04-12
4,1,5,8.4,Basketball,2005-04-19
5,1,6,7.8,Hot Girl,2005-04-26
6,2,1,8.7,The Dundies,2005-09-20
7,2,2,8.2,Sexual Harassment,2005-09-27
8,2,3,8.4,Office Olympics,2005-10-04
9,2,4,8.4,The Fire,2005-10-11
10,2,5,8.1,Halloween,2005-10-18
11,2,6,8.2,The Fight,2005-11-01
12,2,7,8.6,The Client,2005-11-08
13,2,8,8.2,Performance Review,2005-11-15
14,2,9,8.4,E-Mail Surveillance,2005-11-22
15,2,10,8.9,Christmas Party,2005-12-06
16,2,11,8.6,Booze Cruise,2006-01-05
17,2,12,9.1,The Injury,2006-01-12
18,2,13,8.3,The Secret,2006-01-19
19,2,14,7.9,The Carpet,2006-01-26
20,2,15,8.2,Boys and Girls,2006-02-02
21,2,16,8.3,Valentine's Day,2006-02-09
22,2,17,8.5,Dwight's Speech,2006-03-02
23,2,18,8.3,Take Your Daughter to Work Day,2006-03-16
24,2,19,8.1,Michael's Birthday,2006-03-30
25,2,20,8.4,Drug Testing,2006-04-27
26,2,21,8.7,Conflict Resolution,2006-05-04
27,2,22,9.4,Casino Night,2006-05-11
28,3,1,9.0,Gay Witch Hunt,2006-09-21
29,3,2,8.2,The Convention,2006-09-28
30,3,3,8.6,The Coup,2006-10-05
31,3,4,8.0,Grief Counseling,2006-10-12
32,3,5,8.2,Initiation,2006-10-19
33,3,6,8.0,Diwali,2006-11-02
34,3,7,8.6,Branch Closing,2006-11-09
35,3,8,8.7,The Merger,2006-11-16
36,3,9,8.3,The Convict,2006-11-30
37,3,10,8.8,A Benihana Christmas,2006-12-14
39,3,12,8.5,Back from Vacation,2007-01-04
40,3,13,8.6,Traveling Salesmen,2007-01-11
41,3,14,8.8,The Return,2007-01-18
42,3,15,8.1,Ben Franklin,2007-02-01
43,3,16,8.2,Phyllis' Wedding,2007-02-08
44,3,17,8.9,Business School,2007-02-15
45,3,18,8.5,Cocktails,2007-02-22
46,3,19,9.0,The Negotiation,2007-04-05
47,3,20,8.8,Safety Training,2007-04-12
48,3,21,8.8,Product Recall,2007-04-26
49,3,22,8.8,Women's Appreciation,2007-05-03
50,3,23,9.1,Beach Games,2007-05-10
51,3,24,9.3,The Job,2007-05-17
52,4,1,8.8,Fun Run,2007-09-27
54,4,3,8.3,Dunder Mifflin Infinity,2007-10-04
56,4,5,8.4,Launch Party,2007-10-11
58,4,7,8.7,Money,2007-10-18
60,4,9,8.8,Local Ad,2007-10-25
61,4,10,8.5,Branch Wars,2007-11-01
62,4,11,8.2,Survivor Man,2007-11-08
63,4,12,8.7,The Deposition,2007-11-15
64,4,13,9.4,Dinner Party,2008-04-10
65,4,14,8.1,Chair Model,2008-04-17
66,4,15,8.6,Night Out,2008-04-24
67,4,16,8.3,Did I Stutter?,2008-05-01
68,4,17,7.8,Job Fair,2008-05-08
69,4,18,9.3,"Goodbye, Toby",2008-05-15
70,5,1,8.8,Weight Loss,2008-09-25
72,5,3,8.3,Business Ethics,2008-10-09
73,5,4,8.0,Baby Shower,2008-10-16
74,5,5,8.1,Crime Aid,2008-10-23
75,5,6,8.1,Employee Transfer,2008-10-30
76,5,7,8.5,Customer Survey,2008-11-06
77,5,8,8.2,Business Trip,2008-11-13
78,5,9,8.6,Frame Toby,2008-11-20
79,5,10,8.8,The Surplus,2008-12-04
80,5,11,8.4,Moroccan Christmas,2008-12-11
81,5,12,8.7,The Duel,2009-01-15
82,5,13,8.0,Prince Family Paper,2009-01-22
83,5,14,9.7,Stress Relief,2009-02-01
85,5,16,8.2,Lecture Circuit: Part 1,2009-02-05
86,5,17,8.2,Lecture Circuit: Part 2,2009-02-12
87,5,18,8.0,Blood Drive,2009-03-05
88,5,19,8.7,Golden Ticket,2009-03-12
89,5,20,8.3,New Boss,2009-03-19
90,5,21,8.4,Two Weeks,2009-03-26
91,5,22,8.3,Dream Team,2009-04-09
92,5,23,8.7,Michael Scott Paper Company,2009-04-09
93,5,24,8.7,Heavy Competition,2009-04-16
94,5,25,9.2,Broke,2009-04-23
95,5,26,8.3,Casual Friday,2009-04-30
96,5,27,8.7,Cafe Disco,2009-05-07
97,5,28,9.0,Company Picnic,2009-05-14
98,6,1,8.8,Gossip,2009-09-17
99,6,2,8.1,The Meeting,2009-09-24
100,6,3,8.0,The Promotion,2009-10-01
101,6,4,9.4,Niagara: Part 1,2009-10-08
102,6,5,9.4,Niagara: Part 2,2009-10-08
103,6,6,7.6,Mafia,2009-10-15
104,6,7,8.6,The Lover,2009-10-22
105,6,8,8.2,Koi Pond,2009-10-29
106,6,9,8.1,Double Date,2009-11-05
107,6,10,8.6,Murder,2009-11-12
108,6,11,8.2,Shareholder Meeting,2009-11-19
109,6,12,8.3,Scott's Tots,2009-12-03
110,6,13,8.5,Secret Santa,2009-12-10
111,6,14,6.8,The Banker,2010-01-21
112,6,15,7.7,Sabre,2010-02-04
113,6,16,8.1,Manager and Salesman,2010-02-11
114,6,17,8.4,The Delivery: Part 1,2010-03-04
115,6,18,8.5,The Delivery: Part 2,2010-03-04
116,6,19,7.7,St. Patrick's Day,2010-03-11
117,6,20,7.8,New Leads,2010-03-18
118,6,21,8.6,Happy Hour,2010-03-25
119,6,22,7.9,Secretary's Day,2010-04-22
120,6,23,8.0,Body Language,2010-04-29
121,6,24,8.2,The Cover-Up,2010-05-06
122,6,25,7.8,The Chump,2010-05-13
123,6,26,8.0,Whistleblower,2010-05-20
124,7,1,8.4,Nepotism,2010-09-23
125,7,2,8.2,Counseling,2010-09-30
126,7,3,8.2,Andy's Play,2010-10-07
127,7,4,7.9,Sex Ed,2010-10-14
128,7,5,7.8,The Sting,2010-10-21
129,7,6,8.2,Costume Contest,2010-10-28
130,7,7,7.4,Christening,2010-11-04
131,7,8,7.8,Viewing Party,2010-11-11
132,7,9,7.7,WUPHF.com,2010-11-18
133,7,10,8.2,China,2010-12-02
134,7,11,9.0,Classy Christmas,2010-12-09
136,7,13,8.3,Ultimatum,2011-01-20
137,7,14,7.7,The Seminar,2011-01-27
138,7,15,8.5,The Search,2011-02-03
139,7,16,8.4,PDA,2011-02-10
140,7,17,9.4,Threat Level Midnight,2011-02-17
141,7,18,7.5,Todd Packer,2011-02-24
142,7,19,9.3,Garage Sale,2011-03-24
143,7,20,7.8,Training Day,2011-04-14
144,7,21,9.0,Michael's Last Dundies,2011-04-21
145,7,22,9.8,"Goodbye, Michael",2011-04-28
146,7,23,7.7,The Inner Circle,2011-05-05
147,7,24,8.7,"Dwight K. Schrute, (Acting) Manager",2011-05-12
148,7,25,8.8,Search Committee,2011-05-19
149,8,1,8.2,The List,2011-09-22
150,8,2,8.1,The Incentive,2011-09-29
151,8,3,7.3,Lotto,2011-10-06
152,8,4,8.1,Garden Party,2011-10-13
153,8,5,7.6,Spooked,2011-10-27
154,8,6,7.7,Doomsday,2011-11-03
155,8,7,7.7,Pam's Replacement,2011-11-10
156,8,8,6.9,Gettysburg,2011-11-17
157,8,9,7.7,Mrs. California,2011-12-01
158,8,10,8.0,Christmas Wishes,2011-12-08
159,8,11,7.9,Trivia,2012-01-12
160,8,12,8.0,Pool Party,2012-01-19
161,8,13,7.5,Jury Duty,2012-02-02
162,8,14,7.7,Special Project,2012-02-09
163,8,15,7.8,Tallahassee,2012-02-16
164,8,16,8.1,After Hours,2012-02-23
165,8,17,7.8,Test the Store,2012-03-01
166,8,18,7.8,Last Day in Florida,2012-03-08
167,8,19,6.6,Get the Girl,2012-03-15
168,8,20,7.1,Welcome Party,2012-04-12
169,8,21,7.1,Angry Andy,2012-04-19
170,8,22,7.1,Fundraiser,2012-04-26
171,8,23,7.6,Turf War,2012-05-03
172,8,24,7.7,Free Family Portrait Studio,2012-05-10
173,9,1,7.6,New Guys,2012-09-20
174,9,2,7.2,Roy's Wedding,2012-09-27
175,9,3,7.4,Andy's Ancestry,2012-10-04
176,9,4,7.8,Work Bus,2012-10-18
177,9,5,7.0,Here Comes Treble,2012-10-25
178,9,6,7.7,The Boat,2012-11-08
